date,city,state,dead,injured,total,description
8/8/21,New Orleans,Louisiana,0,5,5,Five people were shot in the early morning on Bourbon Street. This was the second weekend in a row with a mass shooting in the city.
8/8/21,Chicago,Illinois,1,6,7,"Two men were arguing outside a lounge on the South Side, before it escalated. One of the two was killed, and the other along with five bystanders was injured."
8/8/21,Houston,Texas,1,5,6,A man was killed and five others wounded after a fight in a night club escalated out of the club and into the parking lot.
8/7/21,Hartford,Connecticut,0,4,4,Four men were wounded by five teenagers who opened fire at the same location they had wounded a woman two days prior. The teenagers were later arrested.
8/6/21,Memphis,Tennessee,1,4,5,Four people were wounded and one killed in an afternoon shooting. The suspect is known to the victims.
8/6/21,Nashville,Tennessee,1,3,4,Three teenagers were wounded and an adult woman was killed after their cars were boxed in by other vehicles and fired upon. A fourth teenager was injured in a car accident as one of the cars attempted to flee the gunfire.
8/6/21,Houston,Texas,0,5,5,"Four people were shot, and a fifth wounded by bullet fragments in the early morning at a bar. The shooting was believed to be in retaliation of three men being denied entry into the bar."
8/5/21,Citrus Heights,California,0,4,4,Four people were wounded in the parking lot of a night club during the early morning. Responding officers had to break up multiple fights upon arriving.
8/5/21,Gwynn Oak,Maryland,4,1,5,A man killed three people and injured a fourth near a townhouse before setting it on fire. Responding officers shot and killed him. The man was reportedly being watched by the FBI before the incident.
8/5/21,Oakland,California,0,4,4,Four people were wounded in the early morning while standing outside for a gathering near Lake Merritt.
8/5/21,Detroit,Michigan,0,4,4,Shortly after midnight four people were wounded in an alley in the city's Westside.
8/4/21,Bryan,Texas,1,5,6,"A shooting at a cabinet manufacturing store left one person dead, four in critical condition, and one in stable condition. One of the injured is a Texas State Trooper. The suspected shooter is now in custody."
8/3/21,Clearwater,Florida,1,3,4,One man died and three people were injured in a shooting. Police believe the shooting was targeted.
8/2/21,Mobile,Alabama,0,4,4,Three adults and a juvenile were shot and injured in an evening shooting.
7/31/21,Chicago,Illinois,0,4,4,Four adults were wounded in an early morning shooting while at a gathering in Jackson Park on the South Side.
7/31/21,Columbus,Ohio,1,4,5,"Five people were wounded in an early morning shooting outside a local bar, and one died later at the hospital. An argument escalated causing a gunfight between multiple people."
7/31/21,Saginaw,Michigan,2,2,4,Two people were wounded and two killed at a large public gathering.
7/31/21,New York City,New York,0,10,10,"Ten people, including seven bystanders, were wounded in a night-time gang shooting outside a laundromat. The incident took place in North Corona, Queens."
7/31/21,Indianapolis,Indiana,0,5,5,Three adults and two children were wounded outside a funeral home. It is believed an argument escalated inside the building prior.
7/31/21,Lexington,Kentucky,0,5,5,Responding officers found five people wounded in an evening shooting.
7/29/21,Pittsburgh,Pennsylvania,3,2,5,"After an argument a man shot and killed his parents. He called 911, and stated he wished to turn himself in, but opened fire at responding officers wounding two. He fled the scene in a vehicle that he crashed and was discovered dead due to a self inflicted gunshot wound."
7/29/21,Davenport,Iowa,0,4,4,A feud between the occupants of two vehicles escalated into gunfire injuring three adults and a child.
7/28/21,Charleston,South Carolina,1,4,5,"Five people were wounded in an afternoon shooting, with one later dying at the hospital."
7/28/21,Washington D.C.,Washington D.C.,0,4,4,Four adults were wounded in a shooting in Southeast DC.
7/26/21,Fort Worth,Texas,2,3,5,"A shooter killed one and injured three after opening fire at a backyard party, after becoming upset, leaving and returning. He was chased down by partygoers who threw bricks at him in defense, and was pronounced dead by responding police."
7/25/21,Seattle,Washington,2,3,5,Two people were killed and three injured after someone opened fire on a group leaving a nightclub.
7/25/21,Chicago,Illinois,0,5,5,"Five men were wounded shortly after midnight while standing in an Austin backyard, after a man entered and opened fire."
7/25/21,Wasco,California,5,1,6,"When responding to a hostage situation at a home in Wasco, officers were fired upon by the shooter. Two officers were shot, and one succumbed to their injuries. Three people inside the house were slain by the shooter. The gunman was also killed during the shootout."
7/25/21,Detroit,Michigan,0,7,7,Seven people were wounded at a candlelit vigil on the West Side for a hit and run victim. The shooter pulled up in a vehicle and opened fire on the crowd.
7/24/21,Amarillo,Texas,0,6,6,Six people were wounded in an early morning shooting after an argument escalated at an after-hours club.
7/24/21,Columbus,Ohio,0,4,4,Four people were wounded in a parking lot in Short North in an early morning.
7/24/21,Macon,Georgia,2,2,4,Two people were killed and two injured shortly after midnight after a fight escalated.
7/23/21,Spartanburg,South Carolina,2,2,4,Two people were killed and two wounded in a drive-by-shooting.
7/23/21,San Rafael,California,2,4,6,"Two people were killed and four injured inside a parking garage near a local nightclub. Responding officers attempted to stop multiple vehicles leaving the structure, with some carrying shooting victims."
7/23/21,Darlington,South Carolina,0,4,4,Four people were wounded in a van after individuals in a pickup truck opened fire in the early morning.
7/22/21,Houston,Texas,1,5,6,One person was killed and five injured outside a local restaurant in a drive-by shooting.
7/21/21,Chicago,Illinois,2,3,5,A 15-year-old and a 16-year-old were killed and three other adults were wounded on a street corner. The 16-year-old died the next day.
7/21/21,Chicago,Illinois,2,3,5,"Ten minutes after an earlier shooting, three teenagers  and two adults were wounded in North Lawndale."
7/21/21,Adelphi,Maryland,1,4,5,A man was killed and four others wounded at a condo complex after an argument escalated.
7/21/21,Chicago,Illinois,0,8,8,"Shortly before midnight someone opened fire on a party bus passing by a gas station in Old Town. Seven people were wounded in the bus, and one while pumping gas."
7/20/21,Jacksonville,Texas,4,0,4,Four adults were killed in a robbery after three men broke into their home. The three men were arrested later the next day.
7/19/21,Perth Amboy,New Jersey,0,6,6,A gunman opened fire at a group of people leaving a bar early in the morning. Six people were wounded.
7/19/21,Chicago,Illinois,0,4,4,Four men were injured in Homan Square while standing outside at night.
7/18/21,Houston,Texas,3,2,5,Responding officers arrived at a motel where a man was threatening to kill others and responding officers. The man shot and killed two adults and wounded two others before being shot and killed by police.
7/18/21,Burlington,North Carolina,0,4,4,Four were wounded in a shooting after an argument.
7/18/21,Toledo,Ohio,1,3,4,One person was killed and three wounded in a shooting.
7/18/21,Gainesville,Florida,1,4,5,A man was killed and four others wounded in a drive by shooting outside of a convenience store.
7/18/21,Walnut Creek,California,1,3,4,One person died and three were wounded after a shooting outside a nightclub.
7/18/21,Tucson,Arizona,2,4,6,"Two EMTs were injured after a man opened fire on them as they responded to an unrelated medical incident. The man then drove to a nearby structure fire and shot at nearby people, killing a bystander and wounding a firefighter."
7/17/21,Portland,Oregon,1,6,7,A woman was killed and six others were injured in a shooting in Downtown Portland.
7/17/21,Chicago,Illinois,0,6,6,Five teenage girls aged 12 to 19 years old were wounded while standing outside a party in Austin on the West Side.
7/16/21,Greenville,South Carolina,1,3,4,One person was killed and three injured at Conestee Park after an argument escalated.
7/16/21,Washington D.C.,Washington D.C.,1,5,6,A six-year-old girl was killed and five adults were injured in a shooting in the nation's capital.
7/16/21,Sacramento,California,2,4,6,Shortly before midnight two men were killed and four others injured in Old Sacramento near the old train tracks.
7/16/21,Manchester,New Hampshire,0,4,4,Four people were wounded as passengers in a van taking them from a nightclub.
7/16/21,Chicago,Illinois,1,3,4,One man was killed and three others injured in Austin shortly before midnight.
7/16/21,Philadelphia,Pennsylvania,1,4,5,An adult was killed and three adults and a fourteen-year-old injured in an evening shooting.
7/15/21,Boston,Massachusetts,0,4,4,Officers responding to a ShotSpotter alert discovered four people wounded at the Bromley Heath Projects in Mission Hill.
7/15/21,Levelland,Texas,1,3,4,Officers responding to a 911 call were fired upon by a suspect who barricaded themselves in a home. One officer was killed and three injured.
7/15/21,Lake Ozark,Missouri,1,4,5,A man was killed and four others injured after an argument and physical fight between multiple motorcycle clubs escalated.
7/14/21,Chicago,Illinois,0,5,5,Five adults were wounded outside a food mart in Gresham after three men jumped out of a car and opened fire.
7/14/21,Claymont,Delaware,2,2,4,A man and teenager were killed and two adults wounded in an evening shooting in the Knollwood neighborhood.
7/14/21,Chicago,Illinois,0,5,5,"Five people were wounded in West Garfield Park on the West Side, after a man approached them and opened fire."
7/13/21,Detroit,Michigan,1,6,7,"A man was killed and six others wounded at a banquet hall, after a shooter opened fire due to an earlier argument. Attendees fired back and wounded the suspect, who was later arrested."
7/13/21,Indianapolis,Indiana,0,4,4,"Four men were wounded in an early morning shooting, three of the four were found in a vehicle."
7/11/21,Kenosha,Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.
7/10/21,Milwaukee,Wisconsin,0,5,5,Five people were wounded when a police officer opened fire on an armed suspect who returned fire before he fled the area.
7/10/21,Chicago,Illinois,0,4,4,Two teenagers and two adults were wounded in the early morning after someone opened fire on another car on the Near North Side.
7/10/21,Milwaukee,Wisconsin,3,1,4,Three adults were killed and another wounded after two men came back thirty minutes after an argument over parking and opened fire.
7/9/21,Wichita,Kansas,1,5,6,"After getting kicked out of a night club shortly after midnight, a man opened fire killed a man and wounded five women."
7/9/21,Wilmington,Delaware,0,4,4,Four people were wounded in a local park in the Southbridge neighborhood after a drive-by shooting.
7/8/21,Norfolk,Virginia,0,4,4,Four people were wounded in an early morning shooting in the Neon District.
7/8/21,Chicago,Illinois,0,4,4,Four men were wounded in a drive-by shooting.
7/8/21,Montgomery,Alabama,0,4,4,Three men and a woman were wounded shortly after midnight.
7/6/21,Homestead,Florida,3,3,6,"A man killed his girlfriend, and another man, and injured three teenagers in a Florida home. The man committed suicide upon police arrival."
7/6/21,Cleveland,Ohio,0,6,6,Six people were wounded in an early morning shooting while standing on a porch.
7/5/21,Kinloch,Missouri,2,3,5,A fight broke out at a large outdoor party resulting in two men being killed and three others wounded.
7/4/21,Rock Hill,South Carolina,7,0,7,"2021 Rock Hill shooting: Six people, including two children, were killed in a mass shooting at a Rock Hill home. The perpetrator, a former professional NFL player was found dead by suicide in a nearby home."
7/4/21,Milwaukee,Wisconsin,2,2,4,"Four people were shot at a Northside gas station, two of them fatally."
7/3/21,Edwards,Mississippi,0,4,4,"Three adults and a two-year-old child were injured at a child's birthday party, in a local apartment building. The shooter was arrested the next day."
7/1/21,Washington D.C.,Washington D.C.,0,5,5,Three men and two boys were wounded in an evening shooting in Columbia Heights.
6/30/21,Dover,Delaware,1,3,4,"A group of people were fired upon, leaving one killed and three injured."
6/30/21,Marrero,Louisiana,0,4,4,"A car pulled up to another car waiting to turn and opened fire. An adult, ten-month-old, four and fifteen-year olds were all injured."
6/30/21,Chicago,Illinois,0,4,4,Four teenagers were wounded while walking in Little Village on the West Side in the evening.
6/30/21,Houston,Texas,3,1,4,Two adults and a six-year-old were killed and a ten-year-old injured in an evening shooting.
6/28/21,Rochester,New York,1,3,4,"A man opened fire into a crowded Walmart parking lot, killing one and injuring three."
6/27/21,Chicago,Illinois,1,5,6,Five adults and a teenager were wounded in a drive-by shooting while standing outside in South Shore. A woman died later at the hospital
6/27/21,St. Charles,Illinois,1,3,4,A man was killed and three others wounded at a night club in the early morning.
6/27/21,Greensboro,North Carolina,0,4,4,"After an argument escalated at a pool party hosted at an apartment complex, four people were wounded."
6/27/21,Chicago,Illinois,1,10,11,A woman died and ten others were injured after three shooters approached them from an alley and opened fire in Marquette Park.
6/27/21,Memphis,Tennessee,3,1,4,A tenant with a mental disorder killed three and wounded a neighbor in his boarding house.
6/26/21,Fort Deposit,Alabama,1,3,4,An argument escalated at a funeral service after an outside group refused to turn down music in their car. A man was killed and three others injured.
6/26/21,Chicago,Illinois,1,3,4,A man was killed and three others wounded after an argument escalated in the morning in West Rogers Park.
6/26/21,Houston,Texas,1,3,4,A man was killed and three wounded at a pay-per-view event at a nightclub after a fight broke out.
6/25/21,Chicago,Illinois,0,4,4,"Shortly before midnight, two men and two women were injured in a drive-by shooting in Park Manor, in which the shooter drove a moped."
6/25/21,New York City,New York,0,5,5,Five people were shot in an early morning drive-by at a graduation party in the Bronx.
6/25/21,Columbus,Ohio,0,4,4,Two children and two adults were shot in an SUV.
6/24/21,Gainesville,Florida,1,4,5,"Two shooters opened fire at a local American Legion Post, which was hosting a teen party. All five injured were teenagers."
6/23/21,Montgomery,Alabama,2,2,4,Two men were found dead and two more injured by responding police officers.
6/23/21,Chicago,Illinois,0,4,4,Four motorcycle club members were wounded in Englewood.
6/23/21,Buffalo,New York,0,4,4,"Two adults and two children were wounded at the local JFK Park, after a man opened fire."
6/23/21,Chicago,Illinois,0,4,4,Four people were shot while standing outside when two shooters opened fire in South Austin.
6/21/21,Washington D.C.,Washington D.C.,0,4,4,Minnesota Vikings defensive tackle Jaylen Twyman was shot along with three others while visiting his aunt.
6/21/21,St. Louis,Missouri,3,4,7,Three people were killed and four injured in a shooting outside a convenience store.
6/20/21,Richmond,California,3,5,8,"Celebrators of a Marimba; a Guatemalan music and dance party, were shot by multiple shooters who fled in vehicles"
6/20/21,Granger,Indiana,1,4,5,A man was killed and four others were wounded in an early morning shooting at a local brewing companies parking lot.
6/20/21,Atlantic City,New Jersey,1,3,4,One man was killed and three others injured while standing on a porch after a bicyclist opened fire.
6/20/21,Wildwood,Florida,1,10,11,A woman was killed and ten others injured at an annual community Fathers Day celebration. The shooter was shortly arrested.
6/20/21,Cincinnati,Ohio,1,3,4,A woman was killed and three others injured shortly after midnight.
6/20/21,Aurora,Colorado,1,4,5,A man was killed and four others wounded during an early morning Juneteenth celebration at a local strip mall.
6/20/21,Richmond,Virginia,1,3,4,A man was killed and three wounded while leaving Shockoe Bottom after someone opened fire on a group of people.
6/20/21,Dallas,Texas,0,8,8,"Eight people were wounded in a shootout between two groups after an argument escalated. Each group had rented a party space, and two of the injured were children."
6/19/21,Baton Rouge,Louisiana,2,4,6,Two people were killed and four injured in a parking lot after an argument escalated between unknown people and partygoers leaving a concert.
6/19/21,Oakland,California,1,6,7,A man was killed and five others injured at Lake Merritt near the city's Juneteenth celebration.
6/19/21,Anchorage,Alaska,1,4,5,Four people wounded and one killed in a shooting.
6/19/21,Newark,New Jersey,0,4,4,Responding officers found two wounded men in an early morning shooting. Shortly after two more were identified at a local hospital.
6/18/21,Minneapolis,Minnesota,0,5,5,Shortly before midnight five people were wounded in Dinkytown.
6/17/21,Paterson,New Jersey,0,4,4,Four people were wounded in a shooting.
6/17/21,Durham,North Carolina,2,2,4,A shooting killed two and wounded another two.
6/17/21,Glendale,Peoria,1,12,13,"One person was killed and twelve others injured in eight drive-by shootings in the West Valley area. A male suspect was taken into custody. Of the injuries, three were wounded by gunfire, while nine others sustained indirect injuries, such as shrapnel from broken glass due to a car crash."
6/17/21,Petersburg,Virginia,0,4,4,Four men were wounded in a shooting.
6/16/21,Baltimore,Maryland,1,5,6,"Six people were shot, one fatally, in West Baltimore."
6/15/21,Chicago,Illinois,0,5,5,Five people were wounded at West Garfield Park.
6/15/21,Chicago,Illinois,5,3,8,Four women were killed and three others injured after gunfire erupted in a South Side residence. Another woman died in a hospital.
6/15/21,Albertville,Alabama,2,2,4,A shooting at a Mueller Water Products factory killed two and injured two others.
6/14/21,Boynton Beach,Florida,1,3,4,A drive-by shooting on Interstate 95 killed one and injured three.
6/14/21,Lansing,Michigan,2,2,4,Two people were killed and two others injured at a city park.
6/13/21,Louisville,Kentucky,1,3,4,One man was killed and three other people were injured after a shooting in a Newburg neighborhood.
6/13/21,West Salem,Ohio,1,5,6,An altercation resulted in a shooting that killed one and injured five others at a racetrack.
6/12/21,Philadelphia,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.
6/11/21,Marshall,Texas,0,6,6,Six people were wounded in the early morning at a large community event.
6/11/21,Highland,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four."
6/11/21,Oakley,California,2,2,4,Two people were killed and two wounded at a family birthday party.
6/10/21,Baltimore,Maryland,1,5,6,A woman was killed and five people were wounded in East Baltimore.
6/10/21,Cleveland,Ohio,0,4,4,Four adults were wounded at a music studio shortly before midnight.
6/10/21,New Orleans,Louisiana,1,3,4,A man was killed and three others wounded after four people exited a vehicle and opened fire on them. The victims were doing work in a parking lot behind a church.
6/9/21,Atlanta,Georgia,0,5,5,"A man opened fire after an argument at a local Black Pride festival, wounding five."
6/8/21,Nashville,Tennessee,0,4,4,"Four people, two on the side walk and two in a vehicle, were wounded in a drive-by shooting in West Nashville."
6/6/21,Portland,Oregon,4,0,4,Four people were shot dead at a home in southeast Portland.
6/6/21,Maury,North Carolina,0,4,4,Four people were injured by gunfire at a party in a trailer park.
6/6/21,Kendall,Florida,3,6,9,Three people were killed and six more injured at a graduation party inside of a restaurant/hookah lounge.
6/6/21,Salt Lake City,Utah,1,4,5,One person was killed and four more injured in a drive-by shooting.
6/6/21,Oakland,California,0,5,5,Five men were wounded in the Fremont neighborhood in a drive-by shooting.
6/6/21,St. Louis,Missouri,0,4,4,"Three shooters opened fire on a group of teenagers near Kiener Plaza, injuring four."
6/6/21,Chicago,Illinois,0,8,8,"Two shooters opened fire on a group in Chatham, injuring eight."
6/5/21,Paterson,New Jersey,0,5,5,Five people were wounded in a drive-by shooting during the evening. Thirty minutes prior another two had been injured in a separate drive-by shooting.
6/4/21,Detroit,Michigan,1,3,4,Four people were shot in the Cornerstone Village neighborhood.
6/4/21,New York City,New York,4,0,4,"A man killed the mother of his child and two of her daughters, then later killed himself at the New York City Housing Authority's Van Dyke Houses Brownsville neighborhood of Brooklyn."
6/3/21,Yuba City,California,2,3,5,Two were killed and three injured after a drive-by shooting at a backyard gathering.
6/3/21,Fayetteville,North Carolina,1,4,5,One man was killed and four people were injured in an early-morning shooting.
6/2/21,Murfreesboro,Tennessee,1,4,5,One man was killed in a shooting at a party while two others were hospitalized. Another two were grazed by bullets but refused treatment.
6/2/21,Thibodaux,Louisiana,0,4,4,Three teens and one adult were shot at a house party.
6/2/21,Bloomingdale,Illinois,1,5,6,A shooting at a hotel killed one man and wounded five others.
6/2/21,Tacoma,Washington,1,3,4,A shooting at an illegal club killed one and injured three.
6/1/21,Livingston,Texas,1,3,4,"Three men attempted to break into a home, and engaged in a gunfight with an occupant. The occupant was killed and two adults and a three-year-old girl were injured."
6/1/21,Manassas,Virginia,1,3,4,A man opened fire on his family killing one man and injuring two women and a teenage boy before fleeing. He was discovered later by officers after dying in a car accident.
5/31/21,New York City,New York,0,5,5,Five people were shot in the Bushwick area of Brooklyn.
5/31/21,St. Louis,Missouri,0,4,4,Four men were wounded in a drive-by shooting.
5/31/21,Garfield Heights,Ohio,1,4,5,"One person was killed and four others, including two teenagers, were injured in a shooting during a block party."
5/30/21,Hialeah,Florida,3,20,23,"2021 Hialeah shooting: Three shooters stepped out of a white SUV, using assault rifles and handguns, and opened fire on a billiards club. Some of the gunmen are still at large."
5/30/21,Aliceville,Alabama,1,4,5,One person was killed and four others were injured at a residence.
5/30/21,Chicago,Illinois,0,4,4,Four teens injured in drive-by.
5/29/21,San Antonio,Texas,2,2,4,"Two people were killed and two others injured in a drive-by shooting, after leaving a memorial service at a North Side bar."
5/28/21,Dellwood,Missouri,1,3,4,A man was killed and three other people injured shortly before midnight outside a club.
5/28/21,Miami,Florida,1,6,7,"Shortly before midnight, police responded to a ShotSpotter alert in Wynwood where they found one person killed and six injured."
5/27/21,Durham,North Carolina,0,5,5,A drive-by shooting left five people injured.
5/26/21,Chicago,Illinois,0,4,4,Three teenagers and an adult were wounded in an apartment in the Englewood neighborhood on the South Side. One of the teenagers was pronounced dead before being resuscitated by doctors.
5/26/21,San Jose,California,10,0,10,"2021 San Jose shooting: An employee opened fire at a Santa Clara Valley Transportation Authority  control center in San Jose, California, killing nine others before committing suicide."
5/24/21,West Jefferson,Ohio,4,0,4,At least four people were killed at an apartment complex.
5/24/21,Inkster,Michigan,2,2,4,Two people were killed and two others were injured in a shooting while playing basketball.
5/24/21,Bay Shore,New York,0,4,4,Four people were wounded at a basketball court near a local marina when someone opened fire.
5/23/21,Paterson,New Jersey,0,5,5,A shooting at large gathering left five people injured.
5/23/21,Youngstown,Ohio,3,8,11,Three people were killed and eight injured at a local bar in the early morning.
5/23/21,Norfolk,Virginia,0,4,4,Four people were wounded in an overnight shooting.
5/23/21,Park Forest,Illinois,0,4,4,An overnight shooting at a private party left four people injured.
5/23/21,Chicago,Illinois,0,4,4,Four men were wounded outside a home in East Garfield Park after a man opened fire in the afternoon.
5/22/21,Minneapolis,Minnesota,2,8,10,"The incident happened in the early morning near a downtown nightclub, after two men opened fire on each other during an argument."
5/22/21,Fairfield Township,New Jersey,2,12,14,Two people were killed and twelve others injured at a large house party in a targeted attack.
5/22/21,North Charleston,South Carolina,1,14,15,A teenager was killed and fourteen injured after a shooting at an unauthorized concert.
5/22/21,Fort Wayne,Indiana,1,4,5,A woman was killed and four others wounded shortly after midnight. An argument had escalated in the parking lot and gunfire struck people inside their apartments.
5/22/21,Columbus,Ohio,1,5,6,A 16-year-old was killed and at least five other teenagers were wounded in a shooting at Bicentennial Park.
5/22/21,San Angelo,Texas,0,4,4,Four people were injured after a shooting at a sports complex.
5/21/21,Jersey City,New Jersey,2,4,6,Two people were killed and four injured in a late night shooting.
5/21/21,Albany,New York,1,5,6,One person was killed and five others were injured. The injured walked themselves to the hospital.
5/20/21,Evansville,Indiana,0,4,4,Four people were wounded after a fight escalated into a shooting.
5/18/21,Oakland,California,2,5,7,"Seven people were shot on a party bus celebrating a birthday, two fatally. Police have offered a $40,000 reward for information about the suspect."
5/18/21,Hemet,California,1,4,5,A pregnant bystander was shot and killed when a fight led to gunfire on a public street and four others were wounded.
5/17/21,Portland,Oregon,0,4,4,Four people were shot on Swan Island in an incident that is described by law enforcement as gang-related.
5/16/21,Stone Mountain,Georgia,1,5,6,A man was killed and five injured in a drive-by shooting while standing outside a gas station.
5/16/21,Columbus,Georgia,0,4,4,Four people were wounded in an early morning shooting at a Waffle House.
5/16/21,Birmingham,Alabama,1,4,5,A suspect in a double homicide opened fire on a SWAT team attempting to carry out a search warrant. The suspect was killed and four officers wounded.
5/16/21,East Lansing,Michigan,0,5,5,Five people were shot at a party at an apartment complex.
5/16/21,Atlanta,Georgia,0,4,4,Four people were wounded leaving the Trap Music Museum in an early morning drive-by shooting.
5/16/21,Cincinnati,Ohio,1,3,4,Responding officers to a fight and shooting call found a man dead and three others wounded at a nightclub.
5/15/21,New York City,New York,1,4,5,One person was killed and four other were injured in shooting in The South Bronx.
5/15/21,Chicago,Illinois,2,3,5,Two people were killed and three wounded at an early morning gathering in the Auburn Gresham neighborhood.
5/15/21,Washington D.C.,Washington D.C.,1,3,4,A man died and two women and another man were wounded in an afternoon shooting.
5/14/21,Philadelphia,Pennsylvania,0,4,4,Three men and a woman were wounded in an evening shooting in West Philadelphia.
5/13/21,Washington D.C.,Washington D.C.,0,4,4,"Four men found in two separate locations were wounded after a man left a vehicle and opened fire in Southeast Washington, DC."
5/13/21,Augusta,Georgia,2,2,4,Two women died and two others were injured in an apartment shooting.
5/13/21,Providence,Rhode Isl,0,9,9,"Nine people were shot in Washington Park. According to police, the shooting is the largest in terms of injured in Providence's history."
5/12/21,El Paso,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three."
5/12/21,Detroit,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries."
5/11/21,Oakland,California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.
5/10/21,Rockford,Illinois,1,3,4,Responding police found four injured due to an evening shooting and one later died at the hospital.
5/10/21,Saint Paul,Minnesota,0,4,4,A teen shot four people inside a vehicle at an intersection.
5/9/21,Houston,Texas,4,0,4,Firefighters discovered a husband and wife and two children deceased when responding to a house fire. Family members believe the family had been dead for days before the fire.
5/9/21,Cincinnati,Ohio,0,4,4,"Three adults and a teenager were wounded after an argument outside a Mt. Washington home. The victims went inside, before the suspect fired through the door."
5/9/21,Lakeland,Florida,4,2,6,"A former Marine sharpshooter shot and killed three adults, an infant, and a dog and wounded a child inside and outside a home, before engaging in a shootout with police. The shooter was eventually injured in the gunfight and then apprehended."
5/9/21,Athens,Georgia,0,7,7,A man fired into a crowd of people that were fighting in the early morning. He wounded seven and turned himself in the next day.
5/9/21,Detroit,Michigan,0,4,4,Four men were injured in a shooting outside a rollerskating rink on Eight Mile Road in the west side.
5/9/21,Wyatt,Missouri,0,4,4,Four adults were wounded at a family car show after two men opened fire on the crowd in suspected gang violence.
5/9/21,New York City,New York,0,4,4,Four adults were wounded outside a catering hall in the Bronx after an argument escalated.
5/9/21,Independence,Missouri,0,4,4,An adult and three teenagers were wounded at a local festival after two people got into an argument and one opened fire.
5/7/21,Toledo,Ohio,1,11,12,One person was killed and eleven others injured at an Independence Day block party.
5/7/21,Chicago,Illinois,2,4,6,"A shooting in Washington Park left two dead and four injured, including a 12-year-old girl and a 13-year-old boy."
5/7/21,Santa Rosa,California,1,3,4,A drive-by shooting left one person dead and three others injured at an illegal fireworks show.
5/7/21,Buffalo,New York,0,4,4,Three adults and a three-year-old were injured while standing outside in a large group after someone opened fire.
5/6/21,Indianapolis,Indiana,2,2,4,Two people were killed and two more injured while exiting a Boston Market earlier in the morning in northeastern Indianapolis.
5/6/21,New Orleans,Louisiana,0,8,8,Eight people were wounded in an evening shooting while standing outside a vacant hotel.
5/5/21,Chicago,Illinois,0,4,4,Four people were shot while sitting on a porch in the South Shore neighborhood.
5/4/21,Allen,Texas,6,0,6,Two brothers are suspected to have made a suicide pact before they shot and killed four family members and then fatally shot themselves in a suburban home.
5/4/21,Baltimore,Maryland,0,5,5,Five men were injured in a shooting.
5/4/21,Chicago,Illinois,0,7,7,Seven people were injured in a shooting in West Englewood.
5/3/21,Compton,California,1,4,5,A shooting at a restaurant killed a man from Pennsylvania and injured four others. Police say the shooting was gang-related.
5/2/21,Bolivar,Mississippi,3,1,4,A shooting at a club left three people dead and one injured.
5/2/21,Mohnton,Pennsylvania,1,3,4,"Four men were shot at a hookah lounge, one fatally."
5/2/21,Martinsville,Virginia,2,2,4,"Two were killed in a shooting at a restaurant, while two others were injured. One of the shooters engaged in a gunfight with the police."
5/1/21,Tampa,Florida,0,5,5,A shootout injured five people near a convenience store in the Palm River-Clair Mel area.
4/29/21,Atlanta,Georgia,1,4,5,One person died and four other people were injured after a shooting at a southwest Atlanta home in a drive-by shooting.
4/28/21,Miami,Florida,0,5,5,Five people were injured during a shooting at a Miami home.
4/28/21,Boone,North Carolina,5,0,5,Two deputies were killed and three other people including a suspected gunman were found dead after a standoff.
4/27/21,Fairfield,Alabama,1,4,5,A shooting left at least one person dead and four more injured.
4/27/21,Richmond,Virginia,2,3,5,A three-month-old and her mother were killed after being caught in the crossfire between two groups. Three others are recovering after being shot.
4/26/21,Gresham,Oregon,0,7,7,Seven people were shot during a vigil for a shooting victim.
4/25/21,Little Rock,Arkansas,1,3,4,A drive-by shooting left one person dead and three others injured at Cheatham Park.
4/25/21,Palestine,Texas,0,4,4,A shooting that occurred at a local night club left four people injured.
4/25/21,Phenix City,Alabama,0,4,4,An overnight shooting left four people injured at an outdoor party.
4/25/21,Kansas City,Missouri,1,3,4,A man is dead and three more are injured after a quadruple shooting in the city's historic jazz district.
4/25/21,Houma,Louisiana,0,5,5,A shooting at a Houma nightclub left five people injured.
4/24/21,New Orleans,Louisiana,0,5,5,Five people were wounded in a shooting on Bourbon Street.
4/22/21,San Diego,California,1,4,5,A man was arrested after two overnight shootings in downtown San Diego left one person dead and four others injured.
4/19/21,Houston,Texas,2,3,5,"Five people were shot, two fatally, in Independence Heights."
4/19/21,Saint Croix,United States Virgin Isls,2,2,4,"Four people were shot, two fatally, at a housing complex."
4/19/21,Atlanta,Georgia,0,5,5,"Five people were wounded, one critically, at an apartment complex in southwest Atlanta."
4/18/21,Kenosha,Wisconsin,3,2,5,Three people were killed and two injured after a shooting at a tavern.
4/18/21,Detroit,Michigan,1,5,6,"Police were investigating a shooting that wounded five, as well as a fatal car crash nearby, when a man drove through the crime scene and later fired at officers. Officers then fired back, killing the man. It is not known if this man was connected to the earlier shooting."
4/18/21,Shreveport,Louisiana,0,5,5,Five victims have shown up at a Shreveport hospital in connection with a shooting on Hearne Avenue.
