date,city,state,dead,injured,total,description
7/14/22,Chicago,Illinois,0,4,4,Four people were injured in a drive-by shooting in the West Garfield Park neighborhood.
7/13/22,Philadelphia,Pennsylvania,0,4,4,"Four people, including a toddler, were shot in the Mill Creek neighborhood of West Philadelphia."
7/13/22,Minneapolis,Minnesota,0,4,4,Four people where injured by gunfire in the Folwell neighborhood in the city's north side after an argument ended with shots being fired.
7/13/22,Indianapolis,Indiana,1,3,4,"Four teenagers were shot at an apartment complex in the Eagledale neighborhood in the city's west side, with one dying."
7/12/22,Boston,Massachusetts,0,4,4,Four people were shot in the Lower Roxbury neighborhood.
7/11/22,Memphis,Tennessee,0,4,4,Four people were shot during a shootout at an apartment complex in the Whitehaven neighborhood.
7/11/22,Jackson,Mississippi,0,4,4,"An argument between two teenagers led to one of them opening fire, leaving four wounded, including the other teenager and a toddler."
7/11/22,Riverside,Santa Ana,2,3,5,"Two men robbed six 7-Eleven stores and a Yum-Yum Donuts at gunpoint across Southern California during the early morning hours on ""7-Eleven Day"". During the robberies, one of the men shot five people at four of the convenience stores, two of whom died. The man who opened fire is also accused of murdering a homeless man in the North Hills neighborhood of Los Angeles two days earlier."
7/10/22,Kansas City,Missouri,1,5,6,A shootout between several gunmen and three off-duty police officers working security at a bar just outside it left one dead and five others injured.
7/10/22,New York City,New York,0,5,5,Five people were shot while on the Coney Island boardwalk in Brooklyn.
7/10/22,Chicago,Illinois,0,4,4,Four people were shot near a bar in the Near North Side neighborhood during the early morning hours.
7/10/22,Houghton Lake,Michigan,4,0,4,"A man shot his wife, mother-in-law, and teenage son before fatally shooting himself at their home."
7/10/22,Crest Hill,Illinois,1,4,5,"While officers dispersed a crowd, a shooting during an informal gathering in a parking lot shortly before midnight left one dead and four others injured."
7/10/22,Alvin,Texas,1,3,4,One man was killed and three others wounded in a shooting during a party being held at a rental property.
7/10/22,Downey,California,3,2,5,Three people were killed and two were wounded in a shootout at a house party.
7/9/22,Jackson's Gap,Alabama,0,4,4,"Four people, including a teenager, were shot while celebrating the city's ""Gap Day""."
7/8/22,Detroit,Michigan,0,4,4,Four men were injured in a drive-by shooting in the Midtown neighborhood.
7/8/22,Greensboro,North Carolina,0,4,4,Four people were shot shortly after midnight on a city street.
7/7/22,Chicago,Illinois,0,4,4,Four people were wounded in a drive-by shooting in the East Garfield Park neighborhood.
7/6/22,St. Cloud,Minnesota,0,4,4,"An argument in an alleyway escalated into a shooting that injured four, including two teenagers."
7/6/22,Chicago,Illinois,0,4,4,Four people were shot after three men got out of a car and opened fire on a group of people in the Near West Side neighborbood.
7/6/22,Tampa,Florida,0,4,4,Four people were shot at an intersection in the Jackson Heights neighborhood.
7/5/22,Steubenville,Ohio,0,4,4,A shooting inside a nightclub left four injured.
7/5/22,Youngstown,Ohio,1,3,4,"Four people were shot, one fatally, in the parking lot of an event center in the Lansingville neighborhood during a shootout."
7/5/22,Gary,Indiana,3,7,10,Shortly after midnight three people were killed and seven injured at a large block party.
7/5/22,Rochester,New York,1,3,4,"Several people opened fire on a crowd of people gathered at a recreation center, leaving one dead and three others injured."
7/4/22,Sacramento,California,1,4,5,A shooting outside a nightclub killed one and injured four.
7/4/22,Shreveport,Louisiana,1,3,4,"Three vehicles engaged in a running gun battle, leaving one dead and three others injured."
7/4/22,New York City,New York,0,4,4,"Four adults were wounded at a cookout at a home in Rochdale Village, Queens after an unidentified shooter arrived and opened fire. They fled before police arrived."
7/4/22,Minneapolis,Minnesota,0,7,7,"During a night of civil unrest and several informal Independence Day celebrations, a shooting at Boom Island Park left seven injured."
7/4/22,Kenosha,Wisconsin,1,4,5,"Five people were shot, one fatally, at a home in the central part of the city."
7/4/22,Denver,Colorado,1,3,4,A shooting in the College View neighborhood left one dead and three others injured.
